iter	RMSE
266	0.3146236035
267	0.3139763777
268	0.3132094528
269	0.3127373216
270	0.3113330483
271	0.3107348099
272	0.3102507424
273	0.3099546504
274	0.3091264266
275	0.3086357096
276	0.3083556941
277	0.3078788684
278	0.3078124055
279	0.3066983295
280	0.3064990506
281	0.3057480571
282	0.3049785197
283	0.3046061653
284	0.3044571957
285	0.3038143357
286	0.3034105569
287	0.3024664712
288	0.3018975466
289	0.3008741199
290	0.300438451
291	0.2999512084
292	0.2998019825
293	0.2992165773
294	0.2987414864
295	0.2981444982
296	0.297340002
297	0.2971767378
298	0.2962664793
299	0.2956628844
300	0.2952805239
301	0.2947842123
302	0.2944081109
303	0.2933850588
304	0.2925422365
305	0.2919780759
306	0.2916678315
307	0.2913690561
308	0.291212784
309	0.2905976636
310	0.2901420883
311	0.2897227012
312	0.2891812589
313	0.2884564213
314	0.2881268219
315	0.2872275212
316	0.2870081413
317	0.286164496
318	0.285254376
319	0.2844965741
320	0.2843363099
321	0.2840788768
322	0.2839834007
323	0.2838945966
324	0.2833165874
325	0.2828420568
326	0.2825774464
327	0.2823602411
328	0.2821324269
329	0.2818641527
330	0.2810561867
331	0.2804718904
332	0.27986133
333	0.279399265
334	0.2793154639
335	0.2786760153
336	0.2781271296
337	0.2773687134
338	0.2768896277
339	0.2763557443
340	0.2761066597
341	0.2758677947
342	0.2752007687
343	0.2750530647
344	0.274188851
345	0.2737837049
346	0.2733703021
347	0.2730023175
348	0.2725590342
349	0.272346937
350	0.2720124566
351	0.2715974917
352	0.2710057313
353	0.2702163323
354	0.2700029287
355	0.2696699021
356	0.2695320817
357	0.2690434238
358	0.2683031555
359	0.2681001183
360	0.2673645515
361	0.2669866196
362	0.2666361322
363	0.266092083
364	0.2655859338
365	0.2651070487
366	0.2649224376
367	0.2647061726
368	0.2642530901
369	0.2635136717
370	0.2633397451
371	0.2631773515
372	0.2629503293
373	0.2622116239
374	0.2620040352
375	0.2616119583
376	0.2614255843
377	0.2611299079
378	0.2610988992
379	0.2604705577
380	0.260251012
381	0.2600511526
382	0.2599188619
383	0.2596690297
384	0.2588443419
385	0.2582007065
386	0.2580844155
387	0.25753303
388	0.2573002445
389	0.2570927655
390	0.2564535872
391	0.2563494096
392	0.2561678132
393	0.2559741286
394	0.2555081876
395	0.2550629267
396	0.2543713207
397	0.2539255389
398	0.2536555311
399	0.2534871536
400	0.2531632806
401	0.2529200861
402	0.2523775658
403	0.2521435337
404	0.2515527245
405	0.2511775527
406	0.2505364089
407	0.2502954801
408	0.2500695187
409	0.2498518363
410	0.2495953196
411	0.2495748544
412	0.2493122006
413	0.2489765719
414	0.2485322221
415	0.2483807056
416	0.2483524232
417	0.2481423296
418	0.2478732414
419	0.2477173723
420	0.2475562229
421	0.2469831866
422	0.2465594307
423	0.2463600067
424	0.2460875516
425	0.2459496998
426	0.2456545684
427	0.2454708855
428	0.2449115933
429	0.2443919989
430	0.2437674829
431	0.2435010699
432	0.2429801789
433	0.2427588435
434	0.2422460023
435	0.2420275547
436	0.2415038075
437	0.2414108273
438	0.2409982374
439	0.2405704129
440	0.2403731397
441	0.2398850681
442	0.2394856514
443	0.239313079
444	0.2390666586
445	0.2389557478
446	0.2386306878
447	0.2385088064
448	0.2381620526
449	0.2378520362
450	0.2376778274
451	0.2375075261
452	0.2372128286
453	0.2368966709
454	0.2366952737
455	0.2365664491
456	0.2364031724
457	0.2358000295
458	0.2353329443
459	0.2350832444
460	0.2347036966
461	0.2344758619
462	0.2343877274
463	0.2342728001
464	0.2337112215
465	0.2332249898
466	0.2329961703
467	0.2327116438
468	0.2325608319
469	0.232387461
470	0.2319768767
471	0.2318413305
472	0.2317166438
473	0.2313082216
474	0.2307783877
475	0.2305057177
476	0.230124449
477	0.229914981
478	0.2295446576
479	0.2293300207
480	0.229171472
481	0.2289820706
482	0.228632855
483	0.2282856326
484	0.227933365
485	0.2277075795
486	0.2275132452
487	0.2273998416
488	0.2267725241
489	0.2265662429
490	0.2262508181
491	0.2259284836
492	0.2256570018
493	0.2254716799
494	0.2251864657
495	0.2247362202
496	0.2242971902
497	0.2240019568
498	0.2237854331
499	0.2237061226
